x,y,name,code
0.445,18.0093866321411,Malawi,MWI
0.779,1582.08766563245,Malaysia,MYS
0.715,125.124181033941,Mayotte,MYT
0.628,2876.57196175095,Namibia,NAM
0.861,11749.9792142046,New Caledonia,NCL
0.348,0.08817080902574,Niger,NER
0.514,69.4448051948052,Nigeria,NGA
0.631,350.988203994444,Nicaragua,NIC
0.666,36795.9372114497,Niue,NIU
0.922,31849.5524181436,Netherlands,NLD
0.944,30338.4606170708,Norway,NOR
0.548,242.875654379554,Nepal,NPL
0.704,288.127173373075,Nauru,NRU
0.913,39994.1960507276,New Zealand,NZL
0.793,586.679929386798,Oman,OMN
0.538,62.44685909489,Pakistan,PAK
0.78,340.401726813101,Panama,PAN
0.661,247826.086956522,Pitcairn,PCN
0.734,727.0103259761,Peru,PER
0.668,1234.38319834008,Philippines,PHL
0.78,3405.83714271362,Palau,PLW
0.505,1.92925567831888,Papua New Guinea,PNG
0.843,8435.13246753247,Poland,POL
0.838,3189.11758878547,Puerto Rico,PRI
0.564,21.7308027953869,North Korea,PRK
0.83,8732.00636942675,Portugal,PRT
0.679,521.061571591463,Paraguay,PRY
0.677,86.4473684210526,Palestinian Territory,PSE
0.797,169.325470913359,French Polynesia,PYF
0.85,344.0255147301,Qatar,QAT
0.818,524.101999104187,Reunion,REU
0.793,3740.78328076178,Romania,ROU
0.798,4009.03682961152,Russia,RUS
0.483,87.9343442858414,Rwanda,RWA
0.837,129.256527027128,Saudi Arabia,SAU
0.479,5.48571428571429,Sudan,SDN
0.466,45.8401727076587,Senegal,SEN
0.912,16454.8744126,Singapore,SGP
0.719,123190.348525469,Saint Helena,SHN
0.506,96.7456965153666,Solomon Islands,SLB
0.413,16.5469017928034,Sierra Leone,SLE
0.666,604.735838880752,El Salvador,SLV
0.921,667.153794834323,San Marino,SMR
0.349,25.7899838941155,Somalia,SOM
0.861,9455.21962350257,Saint Pierre and Miquelon,SPM
0.771,3647.65937261865,Serbia,SRB
0.467,49.2222616333898,South Sudan,SSD
0.555,65907.6947579177,Sao Tome and Principe,STP
0.714,273.522864928809,Suriname,SUR
0.844,6557.03024747938,Slovakia,SVK
0.88,14996.163428,Slovenia,SVN
0.907,31298.36177991,Sweden,SWE
0.531,681.215109327492,Swaziland,SWZ
0.772,185.646366311976,Seychelles,SYC
0.594,36.4265246005178,Syria,SYR
0.392,0.13278368475484,Chad,TCD
0.484,4.34172799863494,Togo,TGO
0.726,571.9479203154,Thailand,THA
0.624,70.75803383484,Tajikistan,TJK
0.688,4.69548561440834,Turkmenistan,TKM
0.595,27.5414095485547,East Timor,TLS
0.717,18782.0199053679,Tonga,TON
0.772,0,Trinidad and Tobago,TTO
0.721,294.918559546323,Tunisia,TUN
0.761,1340.08324134806,Turkey,TUR
0.581,1613.82734912147,Tuvalu,TUV
0.882,9961.99766720083,Taiwan,TWN
0.521,59.42296420431,Tanzania,TZA
0.483,66.3978297107652,Uganda,UGA
0.747,4662.18917395689,Ukraine,UKR
0.793,3595.77221742882,Uruguay,URY
0.915,26764.6458202592,United States,USA
0.675,102.319199297718,Uzbekistan,UZB
0.864,230618.892508143,Vatican,VAT
0.72,47.0172812497001,Saint Vincent and the Grenadines,VCT
0.762,1057.44623672108,Venezuela,VEN
0.808,1932.811780948,British Virgin Islands,VGB
0.851,1434.11708429922,U.S. Virgin Islands,VIR
0.666,788.996409892339,Vietnam,VNM
0.594,0,Vanuatu,VUT
0.702,81.7704074457945,Samoa,WSM
0.714,293.166666666667,Kosovo,XKX
0.498,15.3051489611077,Yemen,YEM
0.666,1258.47959183673,South Africa,ZAF
0.586,29.4792725722,Zambia,ZMB
0.509,33.2908279520743,Zimbabwe,ZWE
